2021-04-02 10:50:25 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 10:50:49 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 10:51:56 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 10:51:58 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 10:52:00 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 11:19:42 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 11:21:42 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 11:23:06 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 11:25:32 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 11:27:50 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 11:29:38 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 11:32:39 INFO  BaseDAOImpl:49 - results ----- [com.hoangbuix.dev.entity.UserEntity@28513e36, com.hoangbuix.dev.entity.UserEntity@220297a0, com.hoangbuix.dev.entity.UserEntity@306551d4, com.hoangbuix.dev.entity.UserEntity@d106dfd, com.hoangbuix.dev.entity.UserEntity@2c9142e7, com.hoangbuix.dev.entity.UserEntity@1a986f42, com.hoangbuix.dev.entity.UserEntity@e96634, com.hoangbuix.dev.entity.UserEntity@e189c51, com.hoangbuix.dev.entity.UserEntity@2838710f, com.hoangbuix.dev.entity.UserEntity@7183e935, com.hoangbuix.dev.entity.UserEntity@3a10f9f7, com.hoangbuix.dev.entity.UserEntity@70a010f0, com.hoangbuix.dev.entity.UserEntity@1bfba7e2, com.hoangbuix.dev.entity.UserEntity@755f3fe9, com.hoangbuix.dev.entity.UserEntity@483dbff4, com.hoangbuix.dev.entity.UserEntity@386a0193, com.hoangbuix.dev.entity.UserEntity@7ee875cb, com.hoangbuix.dev.entity.UserEntity@7244ad88, com.hoangbuix.dev.entity.UserEntity@57237e2b, com.hoangbuix.dev.entity.UserEntity@3f2d9bc5, com.hoangbuix.dev.entity.UserEntity@256e7c6, com.hoangbuix.dev.entity.UserEntity@552932e9, com.hoangbuix.dev.entity.UserEntity@1937dc41, com.hoangbuix.dev.entity.UserEntity@4a179f11, com.hoangbuix.dev.entity.UserEntity@7f4a3942, com.hoangbuix.dev.entity.UserEntity@6368e238, com.hoangbuix.dev.entity.UserEntity@441aefc0, com.hoangbuix.dev.entity.UserEntity@32830f45, com.hoangbuix.dev.entity.UserEntity@1cadb07e, com.hoangbuix.dev.entity.UserEntity@38f0e8f1, com.hoangbuix.dev.entity.UserEntity@2b8764c0, com.hoangbuix.dev.entity.UserEntity@1d4bfd2]
2021-04-02 13:48:32 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:48:32 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 13:48:45 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:51:32 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:54:04 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:55:46 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:58:22 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:58:53 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:59:05 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:59:26 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 13:59:50 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 14:00:54 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 14:06:57 INFO  BaseDAOImpl:49 - results ----- [null]
2021-04-02 14:07:05 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 14:07:09 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 14:07:09 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 14:07:35 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
2021-04-02 14:07:56 INFO  BaseDAOImpl:49 - results ----- [null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]
